#call,Hz,unix,mode,grid,lat,lng,park,org
VK4NXD,7150000,1769893904,SSB,QG62NO,-27.3907,153.142,AU-10873,POTA
VK4PMK,7150000,1769893902,SSB,QG62NO,-27.3907,153.142,AU-10873,POTA
VK7JZ,7030000,1769893705,CW,QF44nr,-35.26917,149.15916,VK1/AC-040,SOTA
W1LFD,14251000,1769893727,SSB,FN43KO,43.6015,-71.1273,US-8021,POTA
W1VVX,14336000,1769893781,SSB,EN22XJ,42.3895,-94.0805,US-2285,POTA
W3GTR,14069000,1769893987,CW,FM18RT,38.8139,-76.5122,US-1572,POTA
W3GTR,21061000,1769893380,CW,FM18rt,38.81391907,-76.51221466,KFF-1572,WWFF
W3GTR,18072000,1769891460,CW,FM18rt,38.81391907,-76.51221466,KFF-1572,WWFF
W3JPH,14059000,1769894101,CW,FN10RM,40.5236,-76.5253,US-8908,POTA
W6/DC1TC,14333000,1769892609,SSB,CM87TR,37.7129,-122.381,US-7493,POTA
W6DSG,14076000,1769894098,FT8,DM09KP,39.6272,-119.152,US-12973,POTA
W6IWN,28455000,1769894090,SSB,DM09DM,39.5239,-119.719,US-4391,POTA
W6IWN,28475000,1769893680,CW,DN20gg,40.26074982,-115.43200684,KFF-4391,WWFF
W6IWN,28480000,1769892300,CW,DN20gg,40.26074982,-115.43200684,KFF-4391,WWFF
W6IWN,28433000,1769890980,CW,DN20gg,40.26074982,-115.43200684,KFF-4391,WWFF
W6OBB,18160000,1769894033,SSB,CM95KO,35.597,-121.111,US-1158,POTA
W7DLZ,21058900,1769890986,CW,DM09bb,39.08060,-119.87810,W7N/TR-014,SOTA
W7ETF,144200000,1769893102,SSB,CN85ur,45.71660,-122.29590,W7W/LC-103,SOTA
W7MTB,146580000,1769890836,FM,CN93mt,43.82210,-120.93070,W7O/CE-068,SOTA
W7NKC,21358000,1769894097,SSB,DM48MS,38.7916,-110.947,US-5900,POTA
W7RLS,18101000,1769893832,FT8,DN04FI,44.3529,-119.555,US-10003,POTA
W7YJ,14283000,1769894103,SSB,DN32MQ,42.6811,-112.984,US-2243,POTA
W8TAM,14080000,1769893883,FT4,EL99IR,29.7165,-81.3019,US-4631,POTA
W9WTP,28337000,1769892378,SSB,CN82JG,42.2887,-123.231,US-10492,POTA
W9YOY,21300000,1769893947,FT8,EN73BW,43.9429,-85.8942,US-4583,POTA
WA9TT,14075000,1769894035,FT8,EN54RL,44.4631,-88.5145,US-4306,POTA
WG8X,14046000,1769894010,CW,EN90IX,40.9783,-81.3105,US-1987,POTA
WG8X,14053000,1769893260,CW,EN90ix,40.97834015,-81.31050873,KFF-1987,WWFF
WG8X,10118000,1769892480,CW,EN90ix,40.97834015,-81.31050873,KFF-1987,WWFF
WN1C,21330000,1769892484,SSB,EN53EA,43.024,-89.6227,US-9804,POTA
WT5O,14061000,1769893855,CW,DM62US,32.7872,-106.326,US-0970,POTA
WT8J,14082000,1769893028,FT4,EL99IS,29.7571,-81.2949,US-8361,POTA
WU7H,18092000,1769890929,CW,CN97ij,47.38320,-121.30110,W7W/CW-064,SOTA
WV3V,21066000,1769893482,CW,DM26II,36.3378,-115.279,US-0974,POTA
WW9R,14043000,1769893965,CW,DM24VI,34.3506,-114.17,US-1056,POTA
WY7EE,14047000,1769894070,CW,DN60PN,40.5464,-106.722,US-4403,POTA
ZL1BYZ,7075000,1769893299,SSB,RF72uv,-37.08480,175.70239,ZL1/WK-072,SOTA
